d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
8.879397e-07,887.939698,7.940330e-09,-9.19106521e-04,9.99080893e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.937186e-07,893.718593,6.879480e-09,-8.55067855e-04,9.99144932e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.994975e-07,899.497487,5.960350e-09,-7.80714942e-04,9.99219285e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.052764e-07,905.276382,5.164010e-09,-6.97158016e-04,9.99302842e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.110553e-07,911.055276,4.474057e-09,-6.05613554e-04,9.99394386e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.168342e-07,916.834171,3.876280e-09,-5.07387149e-04,9.99492613e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.226131e-07,922.613065,3.358367e-09,-4.03855428e-04,9.99596145e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.283920e-07,928.391960,2.909647e-09,-2.96447282e-04,9.99703553e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.341709e-07,934.170854,2.520879e-09,-1.86624636e-04,9.99813375e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.399497e-07,939.949749,2.184052e-09,-7.58630356e-05,9.99924137e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.457286e-07,945.728643,1.892227e-09,3.43677224e-05,1.00003437e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.515075e-07,951.507538,1.639393e-09,1.42622650e-04,1.00014262e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.572864e-07,957.286432,1.420341e-09,2.47500081e-04,1.00024750e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.630653e-07,963.065327,1.230556e-09,3.47659410e-04,1.00034766e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.688442e-07,968.844221,1.066129e-09,4.41837827e-04,1.00044184e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.746231e-07,974.623116,9.236716e-10,5.28865860e-04,1.00052887e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.804020e-07,980.402010,8.002490e-10,6.07681516e-04,1.00060768e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.861809e-07,986.180905,6.933177e-10,6.77342877e-04,1.00067734e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.919598e-07,991.959799,6.006743e-10,7.37038989e-04,1.00073704e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.977387e-07,997.738693,5.204098e-10,7.86098930e-04,1.00078610e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.003518e-06,1003.517588,0.000000e+00,8.23998964e-04,1.00082400e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.009296e-06,1009.296482,0.000000e+00,8.50367691e-04,1.00085037e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.015075e-06,1015.075377,0.000000e+00,8.64989179e-04,1.00086499e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.020854e-06,1020.854271,0.000000e+00,8.67804028e-04,1.00086780e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.026633e-06,1026.633166,0.000000e+00,8.58908397e-04,1.00085891e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.032412e-06,1032.412060,0.000000e+00,8.38551017e-04,1.00083855e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.038191e-06,1038.190955,0.000000e+00,8.07128255e-04,1.00080713e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.043970e-06,1043.969849,0.000000e+00,7.65177316e-04,1.00076518e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.049749e-06,1049.748744,0.000000e+00,7.13367677e-04,1.00071337e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.055528e-06,1055.527638,0.000000e+00,6.52490906e-04,1.00065249e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.061307e-06,1061.306533,0.000000e+00,5.83448992e-04,1.00058345e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.067085e-06,1067.085427,0.000000e+00,5.07241367e-04,1.00050724e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.072864e-06,1072.864322,0.000000e+00,4.24950795e-04,1.00042495e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.078643e-06,1078.643216,0.000000e+00,3.37728326e-04,1.00033773e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.084422e-06,1084.422111,0.000000e+00,2.46777523e-04,1.00024678e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.090201e-06,1090.201005,0.000000e+00,1.53338157e-04,1.00015334e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
