d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
7.550251e-07,755.025126,2.147381e-07,2.28577098e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.17176864e-09
7.608040e-07,760.804020,1.860681e-07,1.96952819e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.26408940e-10
7.665829e-07,766.582915,1.612246e-07,1.69816285e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.00716217e-10
7.723618e-07,772.361809,1.396971e-07,1.46509535e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.24090905e-10
7.781407e-07,778.140704,1.210432e-07,1.26473652e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.64730413e-10
7.839196e-07,783.919598,1.048795e-07,1.09233766e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.35937350e-10
7.896985e-07,789.698492,9.087362e-08,9.43862701e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.50575673e-10
7.954774e-07,795.477387,7.873765e-08,8.15879521e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.19770786e-10
8.012563e-07,801.256281,6.822203e-08,7.05467654e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.53054161e-10
8.070352e-07,807.035176,5.911048e-08,6.10139992e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.58513283e-10
8.128141e-07,812.814070,5.121558e-08,5.27776468e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.42941696e-10
8.185930e-07,818.592965,4.437492e-08,4.56567933e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.11985238e-10
8.243719e-07,824.371859,3.844777e-08,3.94968711e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.70281613e-10
8.301508e-07,830.150754,3.331217e-08,3.41656514e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.21591334e-10
8.359296e-07,835.929648,2.886243e-08,2.95498603e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.68918805e-10
8.417085e-07,841.708543,2.500698e-08,2.55523221e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.14622832e-10
8.474874e-07,847.487437,2.166646e-08,2.20895493e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.60516350e-10
8.532663e-07,853.266332,1.877212e-08,1.90897084e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.07955457e-10
8.590452e-07,859.045226,1.626437e-08,1.64909029e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.57918108e-10
8.648241e-07,864.824121,1.409158e-08,1.42397229e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.11073005e-10
8.706030e-07,870.603015,1.220903e-08,1.22900186e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.67839343e-10
8.763819e-07,876.381910,1.057795e-08,1.06018630e-10,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.28438128e-10
8.821608e-07,882.160804,9.164747e-09,9.14067226e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.92935857e-10
8.879397e-07,887.939698,7.940330e-09,7.87645938e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.61281311e-10
8.937186e-07,893.718593,6.879480e-09,6.78319933e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.33336224e-10
8.994975e-07,899.497487,5.960350e-09,5.83828838e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.08900582e-10
9.052764e-07,905.276382,5.164010e-09,5.02208217e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,8.77331994e-11
9.110553e-07,911.055276,4.474057e-09,4.31750032e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.95682438e-11
9.168342e-07,916.834171,3.876280e-09,3.70968735e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.41282769e-11
9.226131e-07,922.613065,3.358367e-09,3.18572088e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.11343446e-11
9.283920e-07,928.391960,2.909647e-09,2.73436037e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.03135962e-11
9.341709e-07,934.170854,2.520879e-09,2.34582934e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.14048359e-11
9.399497e-07,939.949749,2.184052e-09,2.01162754e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.41623976e-11
9.457286e-07,945.728643,1.892227e-09,1.72436716e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,8.35864314e-12
9.515075e-07,951.507538,1.639393e-09,1.47763107e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.78537539e-12
9.572864e-07,957.286432,1.420341e-09,1.26584856e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.54389865e-13
9.630653e-07,963.065327,1.230556e-09,1.08418762e-11,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.40262630e-12
9.688442e-07,968.844221,1.066129e-09,9.28460461e-12,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.33468827e-12
9.746231e-07,974.623116,9.236716e-10,7.95040883e-12,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-5.67245895e-12
9.804020e-07,980.402010,8.002490e-10,6.80792286e-12,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.52943656e-12
9.861809e-07,986.180905,6.933177e-10,5.83004182e-12,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.00328921e-12
