d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.60165041e-02,3.30082521e-09,6.32215863e-02,9.36778414e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.65166292e-02,3.32583146e-09,6.36964674e-02,9.36303533e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.70167542e-02,3.35083771e-09,6.41712741e-02,9.35828726e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.75168792e-02,3.37584396e-09,6.46460063e-02,9.35353994e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.80170043e-02,3.40085021e-09,6.51206637e-02,9.34879336e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.85171293e-02,3.42585646e-09,6.55952459e-02,9.34404754e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.90172543e-02,3.45086272e-09,6.60697527e-02,9.33930247e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.95173793e-02,3.47586897e-09,6.65441837e-02,9.33455816e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.00175044e-02,3.50087522e-09,6.70185388e-02,9.32981461e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.05176294e-02,3.52588147e-09,6.74928175e-02,9.32507183e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.10177544e-02,3.55088772e-09,6.79670196e-02,9.32032980e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.15178795e-02,3.57589397e-09,6.84411448e-02,9.31558855e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.20180045e-02,3.60090023e-09,6.89151928e-02,9.31084807e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.25181295e-02,3.62590648e-09,6.93891634e-02,9.30610837e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.30182546e-02,3.65091273e-09,6.98630562e-02,9.30136944e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.35183796e-02,3.67591898e-09,7.03368709e-02,9.29663129e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.40185046e-02,3.70092523e-09,7.08106073e-02,9.29189393e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.45186297e-02,3.72593148e-09,7.12842650e-02,9.28715735e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.50187547e-02,3.75093773e-09,7.17578439e-02,9.28242156e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.55188797e-02,3.77594399e-09,7.22313434e-02,9.27768657e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.60190048e-02,3.80095024e-09,7.27047635e-02,9.27295236e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.65191298e-02,3.82595649e-09,7.31781038e-02,9.26821896e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.70192548e-02,3.85096274e-09,7.36513640e-02,9.26348636e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.75193798e-02,3.87596899e-09,7.41245437e-02,9.25875456e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.80195049e-02,3.90097524e-09,7.45976429e-02,9.25402357e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.85196299e-02,3.92598150e-09,7.50706610e-02,9.24929339e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.90197549e-02,3.95098775e-09,7.55435979e-02,9.24456402e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.95198800e-02,3.97599400e-09,7.60164532e-02,9.23983547e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.00200050e-02,4.00100025e-09,7.64892267e-02,9.23510773e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.05201300e-02,4.02600650e-09,7.69619181e-02,9.23038082e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.10202551e-02,4.05101275e-09,7.74345270e-02,9.22565473e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.15203801e-02,4.07601900e-09,7.79070533e-02,9.22092947e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.20205051e-02,4.10102526e-09,7.83794965e-02,9.21620503e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.25206302e-02,4.12603151e-09,7.88518565e-02,9.21148144e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.30207552e-02,4.15103776e-09,7.93241329e-02,9.20675867e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.35208802e-02,4.17604401e-09,7.97963254e-02,9.20203675e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.40210053e-02,4.20105026e-09,8.02684337e-02,9.19731566e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.45211303e-02,4.22605651e-09,8.07404576e-02,9.19259542e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.50212553e-02,4.25106277e-09,8.12123967e-02,9.18787603e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.55213803e-02,4.27606902e-09,8.16842508e-02,9.18315749e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.60215054e-02,4.30107527e-09,8.21560196e-02,9.17843980e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.65216304e-02,4.32608152e-09,8.26277028e-02,9.17372297e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.70217554e-02,4.35108777e-09,8.30993001e-02,9.16900700e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.75218805e-02,4.37609402e-09,8.35708112e-02,9.16429189e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.80220055e-02,4.40110028e-09,8.40422358e-02,9.15957764e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.85221305e-02,4.42610653e-09,8.45135737e-02,9.15486426e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.90222556e-02,4.45111278e-09,8.49848244e-02,9.15015176e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.95223806e-02,4.47611903e-09,8.54559879e-02,9.14544012e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.00225056e-02,4.50112528e-09,8.59270637e-02,9.14072936e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.05226307e-02,4.52613153e-09,8.63980516e-02,9.13601948e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.10227557e-02,4.55113778e-09,8.68689512e-02,9.13131049e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.15228807e-02,4.57614404e-09,8.73397624e-02,9.12660238e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.20230058e-02,4.60115029e-09,8.78104847e-02,9.12189515e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.25231308e-02,4.62615654e-09,8.82811180e-02,9.11718882e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.30232558e-02,4.65116279e-09,8.87516619e-02,9.11248338e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.35233808e-02,4.67616904e-09,8.92221162e-02,9.10777884e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.40235059e-02,4.70117529e-09,8.96924804e-02,9.10307520e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.45236309e-02,4.72618155e-09,9.01627545e-02,9.09837246e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.50237559e-02,4.75118780e-09,9.06329380e-02,9.09367062e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.55238810e-02,4.77619405e-09,9.11030307e-02,9.08896969e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.60240060e-02,4.80120030e-09,9.15730323e-02,9.08426968e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.65241310e-02,4.82620655e-09,9.20429425e-02,9.07957057e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.70242561e-02,4.85121280e-09,9.25127611e-02,9.07487239e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.75243811e-02,4.87621905e-09,9.29824876e-02,9.07017512e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.80245061e-02,4.90122531e-09,9.34521219e-02,9.06547878e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.85246312e-02,4.92623156e-09,9.39216637e-02,9.06078336e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.90247562e-02,4.95123781e-09,9.43911126e-02,9.05608887e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.95248812e-02,4.97624406e-09,9.48604684e-02,9.05139532e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.00025006e-01,5.00125031e-09,9.53297307e-02,9.04670269e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.00525131e-01,5.02625656e-09,9.57988994e-02,9.04201101e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.01025256e-01,5.05126282e-09,9.62679741e-02,9.03732026e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.01525381e-01,5.07626907e-09,9.67369545e-02,9.03263045e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.02025506e-01,5.10127532e-09,9.72058403e-02,9.02794160e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.02525631e-01,5.12628157e-09,9.76746313e-02,9.02325369e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.03025756e-01,5.15128782e-09,9.81433272e-02,9.01856673e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.03525881e-01,5.17629407e-09,9.86119276e-02,9.01388072e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.04026007e-01,5.20130033e-09,9.90804323e-02,9.00919568e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.04526132e-01,5.22630658e-09,9.95488410e-02,9.00451159e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.05026257e-01,5.25131283e-09,1.00017153e-01,8.99982847e-01
